orig,corr,agree,total agree,,Input.orig,Agree?,Total
"Finally yesterday I had interview in English and I think that I wasn't good although I was accepted into volunteering, I'm very happy because I will help a lot of children and this is very gratify for me.","Finally, yesterday I had an interview in English. I don't think that I was good, although I was accepted as a volunteer. I'm very happy because I will help a lot of children and this is very gratifying for me.",1,3,,These days many women choose themselves to be out of the house and work rather than being a housewife and this social phenomenon is not temporary but will be increasing as a result of progressed gender equality.,0,0
"It is also known as a New Year's Day dish, and since burdock is the main ingredient, it is eaten with the hope that ""happiness will continue for a long, long time"" due to its long and thin appearance.","It is also known as a New Year's Day dish, and since burdock is the main ingredient, it is eaten with the hope that ""happiness will continue for a long, long time"" due to the burdocks long and thin appearance.",0,1,,Sa Dec is a symbolism of fairy land in Viet Nam with full of colours and aromas of diverse flowers and plants so we were all looking at a lot of flowers while we were driving along river.,1,2
"Since April 2011 when he moved to our company, he was always studious and passionate with respect to his duties, which led to not only good result for the company but also huge improvement in his proficiency.","Since April 2011, when he moved to our company, he was always studious and passionate in respect to his duties, which led to not only good results for the company but also huge improvements in his proficiency.",1,2,,"The two sides dreamed of a country entitled to the full sovereignty so that they occasionally worked together by forming committees, including Singanhoe and the Korean Establishment Preparation Board.",0,1
"In about over 2000, government asked TV stations to refrain from showing this fortune-telling, because there was no ground that supports it, and it would help people have bias for people based on blood type.","Around 2000, the government asked TV stations to refrain from showing this fortune-telling, because there were no grounds to support it, and it would help against bias towards people based on their blood types",1,3,,"I just read the index section of this book, and now I feel this could be a life-changing book; because I feel like I have been sticking to a mediocre way to study, and it will definitely yield an adverse effect.",0,1
"It is easy for us to get omega-6 in convenient stores or fast food restaurants, but if we would like to gain a long term health benefits, we should eat fish, walnuts, and flaxseed oil with a lot of vegetables.","It is easy for us to get omega-6 in convenient stores or fast food restaurants, but if we would like to gain  long term health benefits, we should eat fish, walnuts, and flaxseed oil with a lot of vegetables.",1,2,,"Finally yesterday I had interview in English and I think that I wasn't good although I was accepted into volunteering, I'm very happy because I will help a lot of children and this is very gratify for me.",1,3
"After all these years, been through many separations and encounters, I started to felt that this is a real story that happens in our life, also a lesson we are keeping learning during the whole lifetime.","After all these years, having been through many separations and encounters, I started to feel that this is a real story that happens in our life, and also a lesson we keep learning during our entire lifetime.",1,3,,"But, according to a journalist, Malcolm http://en.wikipedia.org/wiki/Malcolm_Gladwell , we can train IQ and IQ has a feature that if we reach a certain degree of IQ, degree of IQ is not important.",1,3
"Based on current information offered by writer, there is no evidence that rules out the possibility that the stable workforce in Zeta stem from other features, like a higher wage, but better work quality.","Based on the current information offered by writer, there is no evidence that rules out the possibility that the stable workforce in Zeta stems from other factors, like a higher wage, but better work quality.",1,2,,"It is also known as a New Year's Day dish, and since burdock is the main ingredient, it is eaten with the hope that ""happiness will continue for a long, long time"" due to its long and thin appearance.",0,1
"In regards to the magic code to future career success, many people would assign more significance to hard study since they believe that knowledge severs the cornerstone of success in a specific field.","In regards to the magic formula to future career success, many people would assign more significance to hard study since they believe that knowledge serves as the cornerstone of success in any specific field.",1,3,,"This argument seems quite convincing at first glance, close scrutiny reveals this conclusion lacks critical supports and therefore further information is needed to evaluate this recommendation.",1,3
"People I met at a bakery in Kaohsiung were really nice that they sent a box of souvenir cakes to Japan just as they promise with a low postage, even though they usually doesn't provide foreign mail services.","People I met at a bakery in Kaohsiung were so nice that they sent a box of souvenir cakes to Japan just as they promised with a low shipping cost, even though they usually don't provide foreign mail services.",1,3,,"2016 Olympics Games is going to be a big event and great honor to our city, but we are paying the price for this: construction and renovation everywhere make the traffic even more chaotic.",1,3
"On August 1945, the atomic bomb eliminated everything, but only this building was not destroyed completely because the blast of the bomb, which was vaporated in the air prevented it from totally collapsing.","On August 1945, the atomic bomb eliminated everything, but only this building was not destroyed completely because the blast of the bomb, which was evaporated in the air, prevented it from totally collapsing.",1,2,,"Since April 2011 when he moved to our company, he was always studious and passionate with respect to his duties, which led to not only good result for the company but also huge improvement in his proficiency.",1,2
"This is very true for, for example, soccer players and other sporting stars of Turkish descent, who feel that, despite their achievements in sports, do not feel fully accepted as members of the German society.","This, for example, is very true of soccer players and other sporting stars of Turkish descent, who feel that, despite their achievements in sports, do not feel fully accepted as members of the German society.",0,1,,"Although this kind of lifestyle may indeed result in healthier physical and mental state, there are several alternative explanations could also account for the facts presented in the argument.",0,1
"During the past twenty years, to solve the problems of the greenhouse gas emissions and a sharp rise in crude oil prices, many developed countries set a national target that petroleum should be replaced by biofuel.","During the past twenty years, to solve the problems of the greenhouse gas emissions and a sharp rise in crude oil prices, many developed countries have set a national goal of replacing petroleum with biofuel.",1,3,,"However, when I read the book page by page myself, I found it wasn;t so difficult as I used to think, though it is a thick one all written in English and seemed to be terrible at the first sight.",1,3
"What it means is that, contrary to the prevalent academic culture among Asian countries that people usually learn from books instead of discussing and debating, Americans obtain useful knowledge from talks.","What it means is that, contrary to the prevalent academic culture among Asian countries that people usually learn from books instead of discussing and debating, Americans obtain useful knowledge from talking.",0,1,,"In conclusion , since young students attend school and spend most of their time for school , the teachers definitely have more influences on their cognitive and social development than their parents .",1,2
"Its headquarters is located in Changsha high tech Zone, and the company has 128 employees, including 3 graduate students and 1 doctoral students, as well as multiple professional mechanical construction teams.","Its headquarters is located in Changsha high tech Zone, and the company has 128 employees, including 3 graduate students and 1 doctoral student, as well as multiple professional mechanical construction teams.",0,0,,"In about over 2000, government asked TV stations to refrain from showing this fortune-telling, because there was no ground that supports it, and it would help people have bias for people based on blood type.",1,3
"We are so concentrated on usual things in our work routine, ways of communication with friends, connections inside our families, that fun is maybe the only opportunity to see, feel and test something new.","We are so concentrated on the usual things in our work routine, ways of communication with friends, connections inside our families, that fun is maybe the only opportunity to see, feel and test something new.",0,1,,"As I remember the good things that happened to me during the past year, I come up with the most beautiful one which is making friends from diffident contraries and communicating with them.",1,3
"In addition, proper knowledge will further improve the patient/owner/veterinary team relationship, and this in turn will result in an animal with a better experience when it comes to being in a veterinary clinic.","In addition, proper knowledge will further improve the patient/owner/veterinary  relationship, and this in turn will result in an animal with a better experience when it comes to being in a veterinary clinic.",1,3,,"In recent years, people in general public have different view about whether the parents who send their children to private schools should pay taxes for supporting education in the country or not.",0,1
"I want to learn English because I would like to understand the content of the videos about photography, poker, videomaker, computer program and others subjects that I like to study on youtube and web.","I want to learn English because I would like to understand the content of the videos about photography, poker, videomaker, computer program and other subjects that I like to study on youtube and web/internet.",0,1,,"According to the Wikipedia, Airbnb is an online marketplace and hospitality service, enabling people to list or rent short-term lodging including vacation rentals, apartment rental and so on.",1,3
"Everyone must have a cellphone now, and the app version of lang8 will definitely attract more users, since it is more convenient to write an article on your phone than to sit in front of your computer desk.","Practically everyone has a cellphone, and the app version of lang8 will definitely attract more users, since it is more convenient to write an article on your phone than to sit in front of your computer desk.",1,2,,"It is easy for us to get omega-6 in convenient stores or fast food restaurants, but if we would like to gain a long term health benefits, we should eat fish, walnuts, and flaxseed oil with a lot of vegetables.",1,2
"When there is a thread mentioning America, you will see comments like ""Oh, America papa is going to take action."", ""America papa, help us!"", ""So, when will America papa take Taiwan as his 51st state?"" and so on.","When there is a thread mentioning America, you will see comments like ""Oh, America papa is going to take action."", ""America papa, help us!"", ""So, when will America papa make Taiwan his 51st state?"" and so on.",1,2,,"Through the lines, we can sense the responsibility for a family, the nice dream and the gender gap for the wife's minute feelings and the husband's firm determination form a sharp contrast.",1,3
"Even now, I don't understand why christian, whether it's Catholic or Protestant,   trusts him/her completely to Christianity,  By believing in Christianity, have you been cured or helped in your life?","Even now, I don't understand why a Christian, whether it's Catholic or Protestant, devotes himself/herself completely to Christianity, By believing in Christianity, have you been cured or helped in your life?",1,2,,If three minutes for open a knot just to cross the stair is not a long time then six minutes is for not a fucking long time to get your work place without borrow a car from someone else.,0,1
"Moreover, they claimed that the legalization of same-sex marriage devalues heterosexual marriage, which will lead to an active extramarital sex life and, consequently, to the mad growth of the number of abortions.","Moreover, they claim that the legalization of same-sex marriage devalues heterosexual marriage, which will lead to an extramarital sex life and, consequently, a substantial growth in the number of abortions.",1,3,,"And for I've gifted every one of you the Immortal Flam, you'll can do substantiation for your talent, every one playing if he want by his hability and his talent to beautify and glorify this theme.",1,2
"Once we were playing in a neighborhood, we jumped a fence and enter into a ground with high grass, but suddenly we had to run, very fast, toward her house, because there were some bulls running behind us.","Once we were playing in a neighborhood, we jumped a fence and entered into a ground with high grass, but suddenly we had to run, very fast, towards her house, because there were some bulls running behind us.",0,1,,"After all these years, been through many separations and encounters, I started to felt that this is a real story that happens in our life, also a lesson we are keeping learning during the whole lifetime.",1,3
"For example, I happened to write a reply to an E-mail message and at the end, I wanted to write ""Thanks for your consideration."" I had to stop there to make sure if it should be considerations or consideration.","For example, I happened to write a reply to an e-mail message and at the end, I wanted to write ""Thanks for your consideration."" I had to stop there to  think if it should be considerations or consideration.",1,3,,"Anyway, it is my first job, what I need is experience and technology, but first and foremost, I think I should put myself into the right position, that is to say, to be a posotive learner.",1,2
"I'm really confusing about it, since I'm studying in Australia in a university FB is an important way for me to connect others, but I seldom saw the locals exchange their EB on the first tute class.","I'm really confused about this. Since I'm studying in a university in Australia, FB is an important way for me to connect with others, but I seldom see the locals exchange their FB on the first day of class.",1,3,,"I consider myself as a experienced gamer with an average PC skills and good knowledge of Microsoft Office Suite -especially Word, Excel and Outlook -, Microsoft Windows 7, 8 and 10, and MacOS.",1,2
"Before the president Park won the election three years ago, every people already knew that she is an idiot from the candidates debate, which showed that she was too dull to be able to answer all questions.","Before  Park won the presidential election three years ago, everyone already knew that she was an idiot by watching the candidates' debate. It showed that she was too dull to be able to answer all questions.",1,3,,"Based on current information offered by writer, there is no evidence that rules out the possibility that the stable workforce in Zeta stem from other features, like a higher wage, but better work quality.",1,2
"This technology can provide us a View or even sound but it, at least as far as I know now, can not let us feel the atmosphere, or smell of the street, which is one of a impressive experience being in India.","This technology can provide us a View or even sound but it, at least as far as I know now, can not let us feel the atmosphere, or smell of the street, which is one of an impressive experience being in India.",0,0,,"Potato makes us energetic, and even in the poor ground, it makes strong routes and becomes our harvests, but those in that era hesitated its strange appearances and couldn't accept it without courage.",1,3
"Its taste varies according to the shops, in addition, we can order the original ramen that makes the most of the local ingredients at a lot of ramen shops, and somebody travels over the nation so that they enjoy it.","Its taste varies among the shops, in addition, we can order the original ramen that makes the most of the local ingredients at a lot of ramen shops and somebody travels over the nation so that they enjoy it.",0,1,,"In regards to the magic code to future career success, many people would assign more significance to hard study since they believe that knowledge severs the cornerstone of success in a specific field.",1,3
"The supernova explosion is the death of one star, but the aftermath of its energy gives fluctuations to the universe, and it is a cradle that creates new stars while involving the substances made there.","The supernova explosion is the death of one star, but the aftermath of its energy gives fluctuations to the universe, and it is a cradle that creates new stars while incorporating the substances left behind.",0,1,,"The three synonyms are often encountered when watching anime, drama, or when listening to Japanese song, plus in dictionaries there has been no detailed explanation of these three verbs.",1,2
"I have already traveled to Medellin with my best friend, those trips were funny and exiting because we met a lot of people and we stayed in different places that we didn't know, besides we ate typical food.","I have already traveled to Medellin with my best friend; those trips were funny and exciting because we met a lot of people and we stayed in different places that we didn't know, besides we ate typical food.",0,1,,"Yesterday, I was remembering the first 4th of July that I have been in Mexicali in 1991, a city at the borther to the United States, I wanted to know how North Americans celebrated their Indpendence Day.",0,0
And finally I think the Maya in the future will have many changes in their clothes because maybe they would like to experience with new clothing; perhaps they will try new recipes and to try new ingredients.,And finally I think the Maya in the future will have many changes in their clothes because maybe they would like to experience with new clothing; perhaps they will try new recipes and to try new ingredients.,0,1,,"People I met at a bakery in Kaohsiung were really nice that they sent a box of souvenir cakes to Japan just as they promise with a low postage, even though they usually doesn't provide foreign mail services.",1,3
"I hate trailers that connect irrelevant scenes to attract audience, which is completely misunderstanding and usually expose very important scenes that people who watch the film should not know in advance.","I hate trailers that connect irrelevant scenes to attract audiences, as they are completely misleading and usually reveal very important scenes that people who will watch the film should not know in advance.",1,2,,"Particularly, the education system of Finland is taken into account as one of the best education system in the whole world if you review the PISA test, which is applied into OECD countries.",1,2
I cannot help but wonder if the scholars who wrote the present course of study at the ministry several years ago were serious enough in imposing such an impracticable statement on the teachers in classrooms.,I cannot help but wonder if the administrators? who wrote the present course of study at the ministry several years ago were serious about imposing such an impossible statement on the teachers in classrooms.,0,1,,"In my opinion, no matter how smart the computers can be, they are basically different from people, they have no feelings, can only do things as programmed, and it will never defeat humans.",1,3
The aforementioned academic paper says that it is assumed that the definitions of this word were not clear at that time despite that the word had already spread among Japanese intellectuals by 1886.,The aforementioned academic paper says that it is assumed that the definitions of this word were not clear at that time despite the fact that the word had already spread among Japanese intellectuals by 1886.,0,1,,"On August 1945, the atomic bomb eliminated everything, but only this building was not destroyed completely because the blast of the bomb, which was vaporated in the air prevented it from totally collapsing.",1,2
"In my country we say ""Facultad de Derecho"" or ""Universidad de Derecho"") because I CAN'T be in the same place for a long period, and I hate to be always in my house, doing the same things over and over again.","In my country we say ""Facultad de Derecho"" or ""Universidad de Derecho"") because I CAN'T be in the same place for a long period, and I hate to always be in my house, doing the same things over and over again.",0,1,,"I think that i'm not studying enough to improve my english skills,some times i forget how to write the sentences correctly and I speak the words with wrong pronounce and it makes me feel dumb.",1,3
"Yawata Village (present-day Yawata City, Kyoto Prefecture) is known as a burdock production area, and it was originally made by wrapping eels and loaches, but now various ingredients such as meat are used.","Yawata Village, (present-day Yawata City, Kyoto Prefecture), is known as a burdock production area, and it was originally made by wrapping eels and loaches, but now various ingredients such as meat are used.",1,3,,"I don't want to be an ordinary people ,of course many people take it for grant that  after graduation  we will  find a work neither better nor worse and in that way we live all our life.",0,1
Many of my friends failed to enter university last year and have been cramming to try again fill the exam prep schools as they desperately aim for entrance into the nation's top-ranking universities.,Many of my friends failed to enter a university last year and have been cramming to try again by filling the exam prep schools as they desperately aim for entrance into the nation's top-ranking universities.,1,2,,"My husband noticed that and said , ""Were there earthquake?"" I was surprized a little about his not noticing because he is an attentive person and had not known anything well more than me always.",0,1
"A man is surrounded by many women, and at each step of activities, he has to choose which woman can remain or leave under mother's supervision, and that process continues until there is only one among the applicants.","A man is surrounded by many women, and at each step of activities he has to choose - under his mother's supervision - which women can remain,  and  this process continues until there is only one woman left .",1,2,,"This is very true for, for example, soccer players and other sporting stars of Turkish descent, who feel that, despite their achievements in sports, do not feel fully accepted as members of the German society.",0,1
"Our purpose of learning English is to communicate, so we need to express ourself first, We also need to know the mean what people are talking, so that I think the second important thing is listening.","Our purpose of learning English is to communicate, so we need to express ourselves first. We also need to know what people mean when they are talking, so that I think the second important thing is listening.",1,3,,"I tried to spoke with the chinese owner because I wanted rice wine, but she didn't understand anything what I said , it was a very unconfortable moment but suddenly a Chinese girl appears..",0,1
"However, it was a very nice heart-warming movie because it was about the mental conflict between his ambition and his sense of guilt, or about his anguish that can not confess his loving feeling to his girl friend.","However, it was a very nice heart-warming movie because it was about the internal conflict between his ambition and his sense of guilt, or about his anguish that could not confess his love to his girlfriend.",0,1,,"Although the argument a little disappeared, this began with Gotama Buddha opening the ""enlightenment"" for the first time, inferring how it was perceived by people and leading to primitive Buddhism.",1,2
"So he decided to leave there his little cousin who was a great cook and who had pretty much his same age of the soothsayer; while, he would have kept travelling the world in search of a cure for his hand.",So he decided to leave  his little cousin there.  His cousin was a great cook and   was pretty much his same age  as the soothsayer.  The man would  keep traveling the world in search of a cure for his hand.,1,3,,"During the past twenty years, to solve the problems of the greenhouse gas emissions and a sharp rise in crude oil prices, many developed countries set a national target that petroleum should be replaced by biofuel.",1,3
"It quite inspires me and I think that I may at least have a 10,000-word vocabulary, for those who learn English very well always say that an excellent English learner is supposed to possess a 20,000 -word at least.","It  inspires me and I think that I may at least have a 10,000-word vocabulary. For those who learn English very well always say that an excellent English learner is supposed to possess at least 20,000 words.",1,2,,"Today was great because I made cool audio files that enabled me to listen to my native language by the right ear, while listening to the foreign language version by the left ear :) that was so fun!",0,1
"Before the president Park won the election three years ago, every people already knew that she is an idiot from the candidates debate, which showed that she was too dull to be able to answer all questions.","Before the president Park won the election three years ago, every person already knew that she was an idiot from the candidates debate, which showed that she was too dull to be able to answer all questions.",1,3,,"Many unicorns disappeared from the human world; others returned to their world; the magical world was disappearing; they too were disappearing, yes, a chain reaction was what happened.",1,3
"He gave us an example: if we travel from the very west of Galicia towards the other extreme of the peninsula, Barcelona, for example, we won't realise at any point of the journey any abrupt change of idioms.","He gave us an example: if we traveled from the very west of Galicia towards the other side of the peninsula where lies Barcelona, we wouldn't realise at any point of the journey any abrupt change of idioms.",0,1,,"What it means is that, contrary to the prevalent academic culture among Asian countries that people usually learn from books instead of discussing and debating, Americans obtain useful knowledge from talks.",0,1
"The languages that I want to learn together with English is one of these: Japanese, Chinese, French or German, this last one I was warned to not try to learn with English together because this can confuse me.","The language that I want to learn together with English is one of these: Japanese, Chinese, French or German. The last one I was warned to not try to learn with English together because it could confuse me.",0,1,,"It's where I put the energy cable, actually, it's still working, but there is a strange sound coming out of it and I can't use it so much, because if it get overheated, more parts can get broken.",1,3
"But he was a fisher and he lived not far from this place, so one warm spring day he and two of his friends, whose names was Andrey Ivanovich and Ivan Andryeevich, packed their bags and drove to the river.","But he was a fisher and he lived not far from this place, so one warm spring day he and two of his friends, whose names  were Andrey Ivanovich and Ivan Andryeevich, packed their bags and drove to the river.",0,0,,"One day is 24 hours, even if she worked without sleeping, she could spend only six hours for each of work, but I don't think she can work without sleep, of course, she needs to sleep.",1,2
"In addition to, when you live in small city you can make a lot of relationship with your neighborhood because people often live in houses instead of apartments and they can have more communication with each other.","In addition to, when you live in a small city you can make a lot of relationships with your neighbors because people often live in houses instead of apartments and they can communicate more with each other.",0,1,,"Its headquarters is located in Changsha high tech Zone, and the company has 128 employees, including 3 graduate students and 1 doctoral students, as well as multiple professional mechanical construction teams.",0,0
"I will continue chatting  with the other but now using the word ""lol lol"" that means to laugh in chats, But I believe that chatting with others I'll learn some things that a teacher can't teach me.","I will continue chatting with  other people, but now I will use the word ""lol"", which means ""to laugh"" in chats.  I believe that by chatting with others I'll learn some things that a teacher can't teach me.",1,2,,I was very impressed the way of display that every plants were decorated boldly and accentuated their shapes while Japanese people conventionally arrange plants using other supporting plants.,1,2
Genghis Khan wanted to be allies with them so he send many gifts for him however it was only send until Utrar and their government felt suspicious that there might be a spy so he killed all the ambassador.,"Genghis Khan wanted to be allies with them, so he sent many gifts for them. However, they were only sent until Utrar's governor became suspicious that there might be a spy, so he killed all the ambassadors.",1,3,,The most famous sword master Musashi Miyamoto killed an another famous fencer Kojiro Sasaki in the duel on Ganryu island with a wooden sword made from an oar by Musashi himself just before the match.,1,2
"Secondly, after having contributed to one's company for decades, everyone should be left at rest spending his\her old age as they want to without being obliged to work longer only because average age has raised.","Secondly, after having contributed to one's company for decades, everyone should be  allowed to spendhis\her old age as they want to without being obliged to work longer only because average age has raised.",0,1,,"I thought what her said is a kind of mercy or forgiveness for non-native speaker, 'Hey guys, don't worry if you can't speak English, you have a chance, it is your own special skill!",1,2
"I want to learn English because I would like to understand the content of the videos about photography, poker, videomaker, computer program and others subjects that I like to study on youtube and web.","I want to learn English because I would like to understand the content of the videos about photography, poker, videomaker, computer programs, and others subjects that I like to study on Youtube and the web.",0,1,,"We are so concentrated on usual things in our work routine, ways of communication with friends, connections inside our families, that fun is maybe the only opportunity to see, feel and test something new.",0,1
"Despite the fact that his stories are filled of full of scenes and local customs, it is a fact -demonstrated in its millions of readers- that anyone can connect with the universal essence of his narrative.","Despite the fact that his stories are  full of scenes/scenarios and local customs, it is a fact -demonstrated by his millions of readers- that anyone can connect with the universal essence of his narrative.",1,2,,"The week before graduation he was really upset about being still all alone; but luckily, that Monday he met her and they could attend the commencement hand in hand, happily full of hopes.",1,2
"There are many phrases in English which can be very confusing to people trying to learn the language, especially phrases which we try to understand literally, but actually mean something very different.","There are many phrases in English that can be very confusing to people trying to learn the language, especially phrases that we try to understand literally, but which actually mean something very different.",1,2,,"One of my most recent findings about English was that in some cases which we, the Japanese, feel like to use a subordinative clause, it is more natural in English to use a prepositional phrase.",1,3
"He mentioned several causes of the decline, such as chronic working overtime without payment, being charge of extra-curricular club activities on weekends, extra work caused by the Covid-19 epidemic.","He mentioned several causes of the decline, such as chronic  overtime (work) without payment, being in charge of extra-curricular club activities on weekends, and extra work caused by the Covid-19 epidemic.",1,2,,"In addition, proper knowledge will further improve the patient/owner/veterinary team relationship, and this in turn will result in an animal with a better experience when it comes to being in a veterinary clinic.",1,3
To accomplish this goal University needs to perform the 3 task :ENSURING THE RUSSIAN ECONOMY HUMAN RESOURCES: CREATING new  RESEARCH CENTRE and create Creation of infrastructure for scientific activity.,To accomplish this goal the university needs to perform the 3 task :ENSURING THE RUSSIAN ECONOMY HUMAN RESOURCES: CREATING new RESEARCH CENTRE and create Creation of infrastructure for scientific activity.,0,0,,"In addition to that, it is impossible to memorize techincal terms, such as business a law, computer, and so on  because there are a lot of law terms that even Japanese people don't know.",1,2
"He gave us an example: if we travel from the very west of Galicia towards the other extreme of the peninsula, Barcelona, for example, we won't realise at any point of the journey any abrupt change of idioms.","He gave us an example: if we were to travel from the very west of Galicia towards the other extreme of the peninsula, Barcelona,  we wouldn't notice any abrupt change of idioms at any point of the journey ",0,1,,"During daylight hours, plants take in carbon dioxide and release oxygen through photosynthesis, but at night plants breathe like humans and animals, so take in oxygen and release carbon dioxide.",1,3
"But he was a fisher and he lived not far from this place, so one warm spring day he and two of his friends, whose names was Andrey Ivanovich and Ivan Andryeevich, packed their bags and drove to the river.","But he was a fisherman and he lived not far from this place. So, one warm Spring day he and two of his friends (Andrey Ivanovich and Ivan Andryeevich respectively) packed their bags and drove to the river.",0,0,,"Therefore, the manga telling about the disease is classified as comedy, though it's a bit unbelievable because you know, the story depict how tough living her life while fighting this disease.",1,3
"This Month   I am assisting  charity, which help young children age 5 to 16 to get school places in Africa and poor countries around the world in order children to come out the dark into the light.","This Month I am assisting charity, which helps young children age 5 to 16 to get school in places in Africa and poor countries around the world in order for children to come out of the dark into the light.",0,1,,"I want to learn English because I would like to understand the content of the videos about photography, poker, videomaker, computer program and others subjects that I like to study on youtube and web.",0,1
"On the other hand Comalcaco (is an ancient Mayan archaeological site in the State of Tabasco-Mexico) was an important mall and there grown cocoa, its seed was considered as the currency of the Mayan culture.","On the other hand Comalcaco ( an ancient Mayan archaeological site in the Mexican State of Tabasco) was an important mall[?] where cocoa was grown, which seed was used as the currency of the Mayan culture.",0,1,,"Everyone must have a cellphone now, and the app version of lang8 will definitely attract more users, since it is more convenient to write an article on your phone than to sit in front of your computer desk.",1,2
"These are basically training programs for monks, that is mental concentration with making no sounds and sitting erect with our legs folded beneath for a long time and then writing and sutra copying with brush.","These are basically training programs for monks; that is, mental concentration without making a sound and sitting erect with our legs folded beneath us for a long time and then copying sutras with a brush.",1,3,,"The Japanese government has implemented lots of strategies to make Japanese society more suitable for physically disabled people, but many of them have complaints about the strategies.",1,3
"Policies of financial aid are decided by World Bank (Ganapati 77), and aid for international disaster relief is allowed by the government even if the United States president pledges support (Walker 5).","Policies of financial aid are decided by the World Bank (Ganapati 77), and aid for international disaster relief is allowed by the government even if the United States president pledges support (Walker 5).",1,3,,"Syria, located above the Jordan and beneath Lebanon is having a civil war against its government and citizen because the citizens thought they are not getting the equal rights from their government.",1,2
"In night time, we went to the nearby supermarket and bought vegetables, juice and tomorrow lunch and so on, followed by I alone returned to my lab and am going to write this diary now but it's about time I go home.","At night, we went to the nearby supermarket and bought vegetables, juice, tomorrow's lunch and so on, followed by myself alone returning to my lab and writing this diary now, but it's about time I go home.",0,1,,"As our budget is very limited, we can't afford to hire a babysitter to take care of them so I have to look after them these three evenings and this doesn't allow me to follow the course.",0,1
